store,animal,category,brand,product_title,normal_price,sale_price,sale,age_group,product_page_url,image_url
Pets place,Hond,Droogvoer,Sam's Field,Sam's Field Light & Senior Lam&Rijst - Hondenvoer - 2.5 kg,"19,99","19,99",0,Senior,https://www.petsplace.nl/sams-field-light-senior-hondenvoer-m-8594031444350-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/2/2/7771_223008_1.webp
Pets place,Hond,Droogvoer,Sam's Field,Sam's Field Light & Senior Lam&Rijst - Hondenvoer - 13 kg,"63,95","63,95",0,Senior,https://www.petsplace.nl/sams-field-light-senior-hondenvoer-m-8594031444350-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/2/2/3603_223017_1.webp
Pets place,Hond,Droogvoer,Wellness Core,Wellness Core Grain Free Dog Senior Original Kalkoen&Kip - Hondenvoer - 1.8 kg,"17,49","17,49",0,Senior,https://www.petsplace.nl/wellness-core-grain-free-dog-senior-original-hondenvoer-m-076344107484-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/3/5686_338921_1.webp
Pets place,Hond,Droogvoer,Wellness Core,Wellness Core Grain Free Dog Senior Original Kalkoen&Kip - Hondenvoer - 10 kg,"59,95","59,95",0,Senior,https://www.petsplace.nl/wellness-core-grain-free-dog-senior-original-hondenvoer-m-076344107484-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/3004_10054698_1.webp
Pets place,Hond,Droogvoer,Eukanuba,Eukanuba Mature Senior Lam&Rijst - Hondenvoer - 2.5 kg,"18,69","14,95",20,Senior,https://www.petsplace.nl/eukanuba-mature-senior-hondenvoer-m-8710255121420-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/2/0/7299_204058_1.webp
Pets place,Hond,Droogvoer,Eukanuba,Eukanuba Mature Senior Lam&Rijst - Hondenvoer - 12 kg,"49,99","49,99",0,Senior,https://www.petsplace.nl/eukanuba-mature-senior-hondenvoer-m-8710255121420-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/2/0/4187_204057_1.webp
Pets place,Hond,Droogvoer,Eukanuba,Eukanuba Thriving Mature Medium Breed Kip - Hondenvoer - 3 kg,"18,69","14,95",20,Senior,https://www.petsplace.nl/eukanuba-thriving-mature-medium-breed-hondenvoer-m-8710255120980-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/5956_300655_1.webp
Pets place,Hond,Droogvoer,Eukanuba,Eukanuba Thriving Mature Medium Breed Kip - Hondenvoer - 12 kg,"49,99","49,99",0,Senior,https://www.petsplace.nl/eukanuba-thriving-mature-medium-breed-hondenvoer-m-8710255120980-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/2053_340308_1.webp
Pets place,Hond,Droogvoer,Edgard&Cooper,Edgard&Cooper Plantbased Adult Wortel&Courgette - Hondenvoer - 1 kg,"10,99","10,99",0,Volwassen,https://www.petsplace.nl/edgard-cooper-plantbased-adult-hondenvoer-m-5407007149094-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/8596_30014020_1.webp
Pets place,Hond,Droogvoer,Edgard&Cooper,Edgard&Cooper Plantbased Adult Wortel&Courgette - Hondenvoer - 2.5 kg,"26,99","22,94",15,Volwassen,https://www.petsplace.nl/edgard-cooper-plantbased-adult-hondenvoer-m-5407007149094-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/7151_30014019_1.webp
Pets place,Hond,Droogvoer,Edgard&Cooper,Edgard&Cooper Plantbased Adult Wortel&Courgette - Hondenvoer - 7 kg,"59,99","59,99",0,Volwassen,https://www.petsplace.nl/edgard-cooper-plantbased-adult-hondenvoer-m-5407007149094-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/5708_30014022_1.webp
